Address,amount
0x653B61CC1d14Af426037BaEf8Bd2671FCDDf814a,568245761
0x63e86c9c17841e227f978aaa1488f136fe7b68ea,544277315
0xb0a2852750b15038cf9b5be255a483e3063162d7,537830623
0xfC9093Fca67e64bCB82A5B502d3902AbabA4f178,498867610
0x2af4b8077ff8cf4a4b3153b659cc87a5b8896d2e,496246154
0x0652a8646b8ec5ca1e549397e08c3e3ae68fa07f,484218175
0xc4a3c2d22aaf6ac13cf79c45974a5a7615d24174,482952013
0x80e60ee31486fb09d6ce15ed793b692f4c5fa374,481551960
0x2359e4a1a1abc120f55c6b4c88194e09ad98c9fe,480246916
0x292aca108b4c306f1a1a85aacf454139619227ed,470998425
0x147b3d45d68CFe67b247dFB32F1f06e03E0686a7,466136350
0x267079d2e268d4db50f8fd4c1c707eb359721f5d,454681367
0xDAE678017BcFE1ddA2185Ba6609590037cCf059C,423305100
0x550d7fb2979f4df2c7479771fdc0a89152fc3d9b,421500289
0x9ebaff2192d2746fec76561bdf72fd249d7a73ab,420652852
0xe4cB78754D394DA94d370b41EA1E02b29b6174c2,407342591
0xb1ab155a292610265a8726ce01234d9b0b809ce9,393924945
0xcb4ce27a5a75c506fee12500c7dd777c5de8717e,383402787
0x2eeec2B0d6Ca4f025dB9A871dafA8240663D8043,382283602
0x4523b791292da89a9194b61ba4cd9d98f2af68e0,365126260
0xddbf58c2a65d007defb274228d43001a2f704396,363880722
0x5dc2301bf594b3d07a91e51f63fb9e69d5673721,360327143
0x4B787e5F53BF90E4EC1FD4B5e4CcFf05BB1a60A9,359521161
0xC99741d1b8a7372D8b976af59aEd9dE57dC2Fb6c,356677000
0x20ED6f2BD36a47c3f04Ad5660CF4C16b7f146224,344502931
0x09748f07b839edd1d79a429d3ad918f670d602cd,339252945
0x2e32935bfd5b2718f99bc8fdf8b37c16811f7d97,328626658
0xc17f466c913074f265012d842fe296b7b0f55127,324622948
0xdb77c335c1d40bd40d92a12823c883ac73d2886c,321846199
0x0000000000000000000000000000000000000000,308657227
0xc365926C71dAE2C7E39D176C9406239318301A3c,305855830
0x53deea1808b6d2b8681241e3857b6c6ed1e7e103,301992532
0xf3C75fa889Fd17c0E4B48Ab212815046080ED3ea,296669283
0xef1335914a41f20805bf3b74c7b597afc4dafbee,296485503
0x56728d15d9879f8776fb4f5f39d98a3c5e7c6859,294773232
0x5bF2033B4e0Cc7C0623a781788eDF3d174870b89,289278412
0xA55EdeE4c007c31112674350800D95614Ee69814,288590415
