Address,amount
0x75E4975dB2cB8d4861Aa83371c1b4AFf833358B7,1608211073543370579012
0x2ff3e6C2E054ABf45E21f790163970df82b0ea90,1589722353596067835616
0x7E2cADb2D603342eF1dBbeD737C5279A0d7F2e3C,1572200446388855228074
0x0EB4ADD4bA497357546DA7F5D12D39587cA24606,1535274126689659390311
0x50664edE715e131F584D3E7EaAbd7818Bb20A068,1506759307215531685105
0xde32b8c47b48F21A1718b6C14A27A8E1f7d236f2,1344936061721640270495
0x719043A8fe188AfE5768096ecA23043666b9c681,1328701897054806752213
0xB0975444b09f564957389028BDb76b437EC132b6,1320935208239143588982
0xbCE3e29641b2083716E023F0bB56635d3062C8c3,1233592291822851796564
0x98Ff243099c93E0720146a0207813DED0766FF65,1126612396567098381065
0xD021E50dFDf93e8f30DE995b3b733019c539D048,1113998346161278300114
0x35577563cd24fcD01764BEEca0314C0E0265fD4B,1066674300333911212217
0x49a2DcC237a65Cc1F412ed47E0594602f6141936,1024484501561023118319
0xB95d9C144aE0E62BdaA7580973A857f78D78784a,987897204486661542496
0xf82502938B8B06C69770631cc0d9B81CE563a4E2,986806108155886652608
0x97D4B02Ce33C399fFeC618Bfd2D5Bf7108e556ac,980372765673734311060
0x751B640E0AbE005548286B5e15353Edc996DE1cb,966994638237035428316
0x2880620A82BF151b2AB3FDA4eAB455c151dEE9EB,892457756919562700766
0x4fB685826A37c4d607059c53caC1B9142F295F01,873347166440372469155
0xF2764e3816E12C85a35B385E115844527887c8B4,854185723807463275472
0x849F17c54D6dDA08162ef328131048d95B9b2c71,808835930225740572423
0x453755819e063962Dc728F87cEA633eB06d6A7b1,805918462220638461212
0x1E5aeBcfdC780Da4Fb506e93a0b398490fD94864,802560303984977965548
0x5d8dE6F2712dCeecEa71b2CcCA7c0D238a09a002,788060801901660681846
0x33212F5c0F618a90A499220ad4b6e8681dF6E7df,756879598452931413420
0x25Da25bEB1729c137Ba8cEEF312fE73556B7f88d,748046204311873514466
0xA985841376c179894A4a62e19ae2beA0B15b1d9b,742167718334123578868
0x54664c16c3f5D0BC33bf914bC82dA9A2275f0EA2,739390471161327885635
0x51Ca31fc7eFB55db794378695eF3506AbA0883D2,675009081241207329670
0x681148725731F213b0187A3CBeF215C291D85a3E,674575621333295417750
0xBc2Fb310D12243bD15cE29d1A5B93411259C06D7,672468030861640270495
0xdD417C450B0B85D3420479a04511b74F1958718b,662450240227041086593
0x68c88Fe8FeE367d64faB809621C44DaDf9BeC2B7,650999027388778703454
0xbFc6fA6dA95Cd208Fe56a218D15fB8c87fb74fDc,575888940634152445164
0xEa1a31288e3CFF9DE155b5e27987016EFde56dF3,568963059704102606787
0x875abe6F1E2Aba07bED4A3234d8555A0d7656d12,563777209959520492746
0xa0f75491720835b36edC92D06DDc468D201e9b73,559253503662823820287
0x5Dd63936fa77c6b7888cB664227Ccd5B27e4F128,556618574181370461570
0xC50B3F8F200ae3F1e8dCA71cA770C3C4EA94a083,540838804968091606782
0xFBA22623A465d0Cf942e86a17B871d153Af6461C,539568428648808618192
0xaF297deC752c909092A117A932A8cA4AaaFF9795,537306380004765876943
0xF1f0115613963B47B5F1F82019135E641449702F,536744006393843198246
0x741AA7CFB2c7bF2A1E7D4dA2e3Df6a56cA4131F3,536429737990448238714
0x4706349cF2ca0FF95Bf914e28ed42AD3456d6429,528576143438840319524
0x4Da69e9904B7DCc9Ece22A4A563c2e2a52d3b586,517988021431058579552
0x2f93524B327100Fba3dc685204f94c7A86C28A8B,502542249844837772826
0x321d184B32C6B85b8D664e19D606BF5Da7182328,489111979326623467142
0x6B49B8A09Fb0fC429D065e46440d3C4c9626E689,486725001763791920628
0xa4517a2B21f85f6a6a63601Cea7fa4E34da92856,485744816104212098468
0x2e0004efF6DA29f9cdC9Eee0AA18C3cd3a83F30d,471396151479556470016
0x600b8A34ec1CfD8B8aF78cFC49708419A16ea2e8,464641012355481750244
0x5aBC6f21A48EafF28C6fe9F59ed54e656ff1Ef62,461727374123650559189
0x733d15099a3382d60925884995dD8d53804A6d3B,455189495607386015288
0x5Fc8c4E0647fd62281901b9fC30c6eaaa6E749d3,453742136790318525939
0xb7477553AB01244F09E083E6028CF16B84C26c72,453742056523771690552
0xEf4f6C4758485C64885ED97eb698B3bf5381Ce6d,423865750260363239918
0x5DD596C901987A2b28C38A9C1DfBf86fFFc15d77,421177144586224331006
0x7D7e74467f813Ea09b44fA43781F761EF6317751,397450063854964640708
0xCFF031Cbb0069334228442a06eD101Aa02321f23,395062315810249839346
0x34348254C0952E2a3519A176aAC840A0efB8b84B,394755586697431220792
0x3B8247040a6627AbA98d9D9905870C44D91dD80d,394134912335068720019
0x65C084B69b7F21aCEFe2c68AA25C67Efd2E10160,393646521965294102811
