Address,amount
0xE4d7360aF7AcD268E02d77Cc2FaEAcD1A34D4F87,25592908698592387775
0xb267c8154f688fb301bcbe95c7b53a8c15ccff30,25487129186405741793
0xb14c8d4512fe63076f640834ea4e8c01004efa11,25134437901933489314
0xbc21d2d3bb07304609f9e26459e6a042b5b638be,25134393761527129146
0xf3BEFf5FcD6aA8d0796097c1E4EB729309055379,25111521540686459978
0xa57C927dF5b836D203560A5B568aF75831939Eed,24918100452723887055
0x055C861C0b76e79A1AB586732BebC7Bb3E2FA444,24897938854130818505
0xAA823D73Ba66874834eA3aF6F2532f5f9779F02B,24877846792841365585
0x7179a13430cd4bd9Dd95D29A13a527CE60805bB0,24262543694453573921
0x6c0Cf880cB20EefabFB09341Fba9e2Bd29ad3DFA,24161263510649044240
0xbd8888106f81b838045c108ff189f5b059995001,24000000000000000000
0x93c0824cdEB2675317f05D4DB08c1F90fdb1D8ea,23424490153994730184
0x5f63eed08174b3ca542050c9d47095305e6f41c7,23000000000000000000
0xCAF6acB7B4825aDBF1F0CA20095D451eC65a7c51,22814722309406531486
0x72dbb36793cbfc871ec3bca152ac345147d9dd0d,22328039037689756501
0x77592e5e659b67ec582e09b1692cd4784ba2b9ca,22000000000189570000
0x549c0421c69be943a2a60e76b19b4a801682cbd3,21791920575970455910
0xe456257312bc201642b02b6513c40005d2e02e59,21346600000000000000
0x09CF915e195aF33FA7B932C253352Ae9FBdB0106,21317941698939026686
0x01F6A06eC1F5341f7d322a27a3Dac7004C698963,20899482422730307546
0x7ca2b8b8A6c81Cbd6d69267bC7854273D048294D,20576738674753680349
0x1EF0AfeBB4C89e33fD96010F32e44161277AE4C7,20152088493983820714
0x93b220bc7c36ea8e4c64192301B680273a184EC3,20108548667872272902
0x049db5ffbdeebd754554f183dbf8be86b5b06215,20022308526922538745
0x9823d1608dd094a7fa88e08b6d5bd29d09b0e86b,20000000000000000000
0x91963a58dac80b0d4bd0e2760e8f534172840033,19944193366522328700
0x4974fdd567d544a9de0e167f094362c4ce5f396c,19909000122101179375
0x1a83b14796c2269f9696f66147ef441e096a3022,19882682544580484514
0x3b485Db96b4d995862Ba0173E7D90E21CEA1f687,19853960260631320839
0x26A56c7F129e5f351D0d438ba7CFd9749B5F010F,19834036102514079833
0xfc97f70a9871a72b23b29f9364398e89fc0c32ff,19800074943285064200
0xfc97F70a9871A72b23b29F9364398e89fc0c32ff,19800074943285064200
0x8b1663A752412B91A6D9B294ab998d6f30fcB3f3,19799861259227039608
0xd0cad400ad754FdC99a225Df8506e33075eDb655,19798302704557803822
0x6979b914f3a1d8c0fec2c1fd602f0e674cdf9862,19794647292769470417
0x8F412B4822c593aDcc01B2708229c7cB26c35725,19764882154187749478
0x1c8D5078D8014c453ce5B74C0a12D7A58CA0a711,19760051956408435946
0xDCEe98FB28f22856187a4Aea0B8F52DcDC4E9d68,19066789671270172094
0x8e3FAbF5A1E4B773C227d2646EB2470263D3a1bF,18958218957468456480
0xe41914c347e06f4582bc776c0cdd1653d4c20394,18760197412325878467
0x327F4ca5f492A48Fb1D1d518Ec880574d1705f85,17836462451041850598
0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,17471444743276855918
0x30ed5773e9c1023a266483d7860a2b19fa4c736c,17328573894223638794
0x992ed078f89fce2405be01d86f0bab5e8a1000b2,17250000000000000000
0x15E15735D7255a0e798677e4ED9D2B9Cf489e4bE,16902446125963492890
0x8831676432669e84a1f9A98D366Cff247170111e,16518837209204665613
0xaa9e7169Cb8b65D62875a061ea6BD603d91254Aa,16256002667890824396
0x4c2083DCA8012fFC985005bdeB24E6407CffEA4C,16136605838056053590
0xdb16bb1e9208c46fa0cd1d64fd290d017958f476,16000000002090343000
0x0115156250344a185700376533749b280340b047,15930517290930292192
